id,timestamp,customer_id,category,amount,status,region
1,2024-01-15 10:23:45,C1001,Electronics,1299.99,completed,US-West
2,2024-01-15 11:45:12,C1002,Clothing,89.50,completed,US-East
3,2024-01-15 12:30:00,C1003,Electronics,599.99,completed,EU-West
4,2024-01-15 13:15:30,C1004,Home,249.99,completed,US-West
5,2024-01-15 14:20:15,C1005,Electronics,1899.00,completed,APAC
6,2024-01-15 15:10:45,C1001,Books,29.99,completed,US-West
7,2024-01-15 16:05:20,C1006,Electronics,799.99,pending,US-East
8,2024-01-15 17:30:00,C1007,Clothing,150.00,completed,EU-West
9,2024-01-15 18:45:30,C1003,Home,89.99,completed,EU-West
10,2024-01-15 19:20:10,C1008,Electronics,2499.99,completed,US-West
11,2024-01-16 09:15:00,C1009,Clothing,199.99,completed,APAC
12,2024-01-16 10:30:45,C1002,Electronics,399.99,completed,US-East
13,2024-01-16 11:20:30,C1010,Books,45.99,completed,US-West
14,2024-01-16 12:45:15,C1005,Home,549.99,completed,APAC
15,2024-01-16 13:30:00,C1011,Electronics,899.99,completed,EU-West
16,2024-01-16 14:15:45,C1003,Clothing,129.99,completed,EU-West
17,2024-01-16 15:50:20,C1012,Electronics,1599.99,completed,US-West
18,2024-01-16 16:25:10,C1004,Books,19.99,cancelled,US-West
19,2024-01-16 17:40:30,C1013,Home,299.99,completed,US-East
20,2024-01-16 18:55:00,C1001,Electronics,699.99,completed,US-West
21,2024-01-17 08:30:15,C1014,Clothing,79.99,completed,APAC
22,2024-01-17 09:45:30,C1006,Electronics,1199.99,completed,US-East
23,2024-01-17 10:20:45,C1015,Books,34.99,completed,EU-West
24,2024-01-17 11:35:00,C1007,Home,189.99,completed,EU-West
25,2024-01-17 12:50:15,C1016,Electronics,2999.99,completed,US-West
26,2024-01-17 13:25:30,C1009,Clothing,99.99,completed,APAC
27,2024-01-17 14:40:45,C1002,Electronics,449.99,completed,US-East
28,2024-01-17 15:15:00,C1017,Books,24.99,completed,US-West
29,2024-01-17 16:30:20,C1010,Home,399.99,completed,US-West
30,2024-01-17 17:45:35,C1018,Electronics,1799.99,completed,EU-West
